split,class_id,class_name,is_thin_class,pixel_count,pixel_percent,num_images_with_class,image_percent_with_class
train,0,Background,0,13318123142,48.1702949291088,30000,100.0
train,80,Other,0,81815376,0.29591788194444446,20652,68.84
train,100,Animals,0,594635,0.002150734230324074,5515,18.383333333333333
train,140,Vehicles,0,104004755,0.37617460575810185,21196,70.65333333333334
train,160,Buildings,0,4018025973,14.53279070095486,29024,96.74666666666667
train,180,Trees,0,9629159704,34.82768990162037,29998,99.99333333333334
train,200,Large Mesh,0,9421187,0.03407547381365741,11110,37.03333333333333
train,220,Small Mesh,0,369578354,1.3367272641782408,27021,90.07
train,240,Thin Structures,1,85676348,0.30988262442129627,27646,92.15333333333334
train,255,Ultra-thin,1,31600526,0.1142958839699074,20536,68.45333333333333
validation,0,Background,0,935330417,50.74492279730903,2000,100.0
validation,80,Other,0,7713192,0.4184674479166667,1633,81.65
validation,100,Animals,0,32346,0.0017548828125,463,23.15
validation,140,Vehicles,0,5326313,0.28897097439236114,1442,72.1
validation,160,Buildings,0,248307342,13.471535481770834,1997,99.85
validation,180,Trees,0,615591925,33.397999403211806,2000,100.0
validation,200,Large Mesh,0,1420230,0.07705240885416667,994,49.7
validation,220,Small Mesh,0,18774070,1.0185584852430556,1829,91.45
validation,240,Thin Structures,1,6697245,0.36334879557291666,1907,95.35
validation,255,Ultra-thin,1,4006920,0.21738932291666666,1409,70.45
test,0,Background,0,989591694,53.688785481770836,2000,100.0
test,80,Other,0,6257742,0.33950423177083333,1542,77.1
test,100,Animals,0,75483,0.00409521484375,672,33.6
test,140,Vehicles,0,7006864,0.3801467013888889,1325,66.25
test,160,Buildings,0,253077628,13.730340060763888,1978,98.9
test,180,Trees,0,554185920,30.066510416666667,2000,100.0
test,200,Large Mesh,0,246533,0.013375271267361112,640,32.0
test,220,Small Mesh,0,23493772,1.2746187065972223,1792,89.6
test,240,Thin Structures,1,5914547,0.3208847113715278,1876,93.8
test,255,Ultra-thin,1,3349817,0.18173920355902778,1243,62.15
