model,pretrained,modality,run_name,seed,class_id,class_name,is_thin_class,iou,recall,precision,fpr,gt_pixels,pred_pixels,tp_pixels,fp_pixels,fn_pixels
unet,0,rgb,run_01_seed_42,42,0,Background,0,0.9137418330521088,0.9280117119604121,0.9834500896157382,0.018114025785214528,70387533,66419695,65320455,1099240,5067078
unet,0,rgb,run_01_seed_42,42,80,Other,0,0.49388357750536466,0.8641352453754901,0.5354630715123095,0.002548075,443993,716520,383670,332850,60323
unet,0,rgb,run_01_seed_42,42,100,Animals,0,0.027221366204417053,0.048784978,0.058012259194395795,3.283064526416836e-05,5432,4568,265,4303,5167
unet,0,rgb,run_01_seed_42,42,140,Vehicles,0,0.6578169030810478,0.9496035931742597,0.6816126814085628,0.001684335,495829,690775,470841,219934,24988
unet,0,rgb,run_01_seed_42,42,160,Buildings,0,0.8869250579868494,0.9483943230582508,0.9318993643721891,0.011007928095346361,17964884,18282869,17037794,1245075,927090
unet,0,rgb,run_01_seed_42,42,180,Trees,0,0.8730629508676693,0.9338077144358349,0.9306580622775695,0.029937385772809532,39431166,39564614,36821127,2743487,2610039
unet,0,rgb,run_01_seed_42,42,200,Large Mesh,0,0.20397981529086928,0.6122192375835858,0.2342444784605292,0.000267202,17497,45730,10712,35018,6785
unet,0,rgb,run_01_seed_42,42,220,Small Mesh,0,0.44671747640209825,0.9359292217972107,0.460809433,0.014110928704741349,1667406,3386593,1560574,1826019,106832
unet,0,rgb,run_01_seed_42,42,240,Thin Structures,1,0.3021459626108795,0.8046809775822085,0.32605894366339716,0.00535209,420425,1037567,338308,699259,82117
unet,0,rgb,run_01_seed_42,42,255,Ultra-thin,1,0.1148431407949172,0.5028191813652322,0.129554779,0.006141217,237835,923069,119588,803481,118247
unet,0,rgbd,run_01_seed_42,42,0,Background,0,0.9263955753479155,0.937926294,0.9869031830486554,0.014437038723599567,70387533,66894422,66018318,876104,4369215
unet,0,rgbd,run_01_seed_42,42,80,Other,0,0.5462347241806605,0.9213501113756298,0.5729506313937723,0.002334132,443993,713976,409073,304903,34920
unet,0,rgbd,run_01_seed_42,42,100,Animals,0,0.065998664,0.090942563,0.19395367098547311,1.566379612533991e-05,5432,2547,494,2053,4938
unet,0,rgbd,run_01_seed_42,42,140,Vehicles,0,0.6988574784866244,0.9766814768801341,0.7107160625731054,0.001509556,495829,681379,484267,197112,11562
unet,0,rgbd,run_01_seed_42,42,160,Buildings,0,0.910759255,0.9581272553722028,0.9485125547287823,0.008260683,17964884,18146987,17212645,934342,752239
unet,0,rgbd,run_01_seed_42,42,180,Trees,0,0.8834570306190564,0.9370024208769276,0.9392459446364705,0.026078778375150973,39431166,39336979,36947098,2389881,2484068
unet,0,rgbd,run_01_seed_42,42,200,Large Mesh,0,0.23845298261361642,0.6984054409327314,0.26582553839460515,0.000257526,17497,45970,12220,33750,5277
unet,0,rgbd,run_01_seed_42,42,220,Small Mesh,0,0.49831751127797347,0.961591838,0.5084374156694454,0.011979087852166979,1667406,3153513,1603364,1550149,64042
unet,0,rgbd,run_01_seed_42,42,240,Thin Structures,1,0.35227479595861527,0.8837248022834037,0.3693963927329706,0.004854614,420425,1005803,371540,634263,48885
unet,0,rgbd,run_01_seed_42,42,255,Ultra-thin,1,0.17390462824174893,0.8273424853364728,0.18045365839343228,0.006830425,237835,1090424,196771,893653,41064
unet,0,rgbe,run_01_seed_42,42,0,Background,0,0.9142675879006216,0.9299606792583567,0.9818770987517801,0.019909180383836936,70387533,66665816,65457638,1208178,4929895
unet,0,rgbe,run_01_seed_42,42,80,Other,0,0.4922537894389983,0.8613424085514861,0.534618143,0.002548481,443993,715333,382430,332903,61563
unet,0,rgbe,run_01_seed_42,42,100,Animals,0,0.046672689,0.085603829,0.09307446,3.457021931023631e-05,5432,4996,465,4531,4967
unet,0,rgbe,run_01_seed_42,42,140,Vehicles,0,0.6626697293959701,0.9437265670220983,0.6899319102004948,0.001610516,495829,678222,467927,210295,27902
unet,0,rgbe,run_01_seed_42,42,160,Buildings,0,0.8813162146527453,0.9461571252004745,0.9278506910460154,0.011685621972714786,17964884,18319330,16997603,1321727,967281
unet,0,rgbe,run_01_seed_42,42,180,Trees,0,0.8702042663836279,0.930168461,0.9310281314846034,0.029649774,39431166,39394757,36677627,2717130,2753539
unet,0,rgbe,run_01_seed_42,42,200,Large Mesh,0,0.18291669703374389,0.7172086643424587,0.1971346434799001,0.000389975,17497,63657,12549,51108,4948
unet,0,rgbe,run_01_seed_42,42,220,Small Mesh,0,0.45411992768808657,0.9311895243270085,0.4698881048027111,0.013536389596802104,1667406,3304342,1552671,1751671,114735
unet,0,rgbe,run_01_seed_42,42,240,Thin Structures,1,0.29589292942621914,0.7893607658916573,0.32125902693074676,0.005366587,420425,1033020,331867,701153,88558
unet,0,rgbe,run_01_seed_42,42,255,Ultra-thin,1,0.11158947691387842,0.47711228372611264,0.12713789050639365,0.005954507,237835,892527,113474,779053,124361
unet,0,rgbde,run_01_seed_42,42,0,Background,0,0.9256188681793754,0.9369933593211741,0.9870549245924839,0.014253384,70387533,66817610,65952651,864959,4434882
unet,0,rgbde,run_01_seed_42,42,80,Other,0,0.5293151760695354,0.9351453739135527,0.5494864420978519,0.002605973,443993,755611,415198,340413,28795
unet,0,rgbde,run_01_seed_42,42,100,Animals,0,0.087143069,0.10843151693667158,0.30741127348643005,1.0124626136544599e-05,5432,1916,589,1327,4843
unet,0,rgbde,run_01_seed_42,42,140,Vehicles,0,0.7092534112774114,0.9738861583328123,0.7230034646838813,0.001416805,495829,667882,482881,185001,12948
unet,0,rgbde,run_01_seed_42,42,160,Buildings,0,0.9112106902857016,0.9565803486401582,0.9505246763487332,0.007908265,17964884,18079336,17184855,894481,780029
unet,0,rgbde,run_01_seed_42,42,180,Trees,0,0.8825003497614928,0.9379143391296113,0.937252292,0.027018119455351094,39431166,39459019,36983056,2475963,2448110
unet,0,rgbde,run_01_seed_42,42,200,Large Mesh,0,0.23567604510764323,0.7094930559524489,0.26084763925952387,0.000268415,17497,47591,12414,35177,5083
unet,0,rgbde,run_01_seed_42,42,220,Small Mesh,0,0.5000270134801951,0.9602574298041389,0.5105936594938897,0.011859694872965638,1667406,3135838,1601139,1534699,66267
unet,0,rgbde,run_01_seed_42,42,240,Thin Structures,1,0.32835500358955166,0.8909817446631385,0.34209942309290514,0.005513795,420425,1094977,374591,720386,45834
unet,0,rgbde,run_01_seed_42,42,255,Ultra-thin,1,0.1805512270581769,0.8038387958038136,0.18887297227875363,0.006275417,237835,1012220,191181,821039,46654
unet_pretrained,1,rgb,run_01_seed_42,42,0,Background,0,0.9007503807238892,0.9144149575465302,0.9836806617368375,0.017595837168677776,70387533,65431207,64363413,1067794,6024120
unet_pretrained,1,rgb,run_01_seed_42,42,80,Other,0,0.37813438135431227,0.8598851783699293,0.4029631459122962,0.004330281,443993,947439,381783,565656,62210
unet_pretrained,1,rgb,run_01_seed_42,42,100,Animals,0,0.007800859,0.016384389,0.014671941971645236,4.560278102345672e-05,5432,6066,89,5977,5343
unet_pretrained,1,rgb,run_01_seed_42,42,140,Vehicles,0,0.5658133050387406,0.9249216967946611,0.5930512845049878,0.002410019,495829,773294,458603,314691,37226
unet_pretrained,1,rgb,run_01_seed_42,42,160,Buildings,0,0.871520887,0.9343245968078614,0.9283951290574548,0.011445690119090296,17964884,18079622,16785033,1294589,1179851
unet_pretrained,1,rgb,run_01_seed_42,42,180,Trees,0,0.8642849074069687,0.9300117323439028,0.9244103883393874,0.032721734068897716,39431166,39670094,36671447,2998647,2759719
