rank_by_mean_thin_iou,model,pretrained,modality,run_name,seed,thin_structures_iou,ultra_thin_iou,mean_thin_iou,thin_structures_recall,ultra_thin_recall,mean_thin_recall,thin_structures_precision,ultra_thin_precision,mean_thin_precision,thin_structures_f2,ultra_thin_f2,mean_thin_f2,thin_structures_fpr,ultra_thin_fpr,mean_thin_fpr,thin_gt_pixels,ultra_thin_gt_pixels
,unet,0,rgb,run_01_seed_42,42,0.3021459626108795,0.1148431407949172,0.20849455170289835,0.8046809775822085,0.5028191813652322,0.6537500794737203,0.32605894366339716,0.129554779,0.22780686117095708,0.622057341,0.31900188272645635,0.4705296119570312,0.00535209,0.006141217,0.005746654,420425,237835
,unet,0,rgbd,run_01_seed_42,42,0.35227479595861527,0.17390462824174893,0.2630897121001821,0.8837248022834037,0.8273424853364728,0.8555336438099382,0.3693963927329706,0.18045365839343228,0.2749250255632014,0.6912364376892653,0.4818651910795591,0.5865508143844123,0.004854614,0.006830425,0.00584252,420425,237835
,unet,0,rgbe,run_01_seed_42,42,0.29589292942621914,0.11158947691387842,0.2037412031700488,0.7893607658916573,0.47711228372611264,0.6332365248088849,0.32125902693074676,0.12713789050639365,0.2241984587185702,0.6112361495841929,0.30770657536548157,0.4594713624748372,0.005366587,0.005954507,0.005660547,420425,237835
,unet,0,rgbde,run_01_seed_42,42,0.32835500358955166,0.1805512270581769,0.2544531153238643,0.8909817446631385,0.8038387958038136,0.84741027,0.34209942309290514,0.18887297227875363,0.2654861976858294,0.6745311031852718,0.4868224042042958,0.5806767536947838,0.005513795,0.006275417,0.005894606,420425,237835
,unet_pretrained,1,rgb,run_01_seed_42,42,0.2381425805742105,0.087565109,0.16285384485059287,0.7674424689302491,0.41074694641242876,0.589094708,0.25666456658839104,0.10014536403542044,0.17840496531190575,0.5489527003572554,0.25350032333002115,0.4012265118436383,0.007152183,0.006709196,0.006930689,420425,237835
,unet_pretrained,1,rgbd,run_01_seed_42,42,0.28072264458256796,0.12471494493880676,0.20271879476068735,0.8338395671047155,0.7422624929047449,0.7880510300047302,0.29735678709082025,0.1303602007654608,0.21385849392814052,0.6127413966921902,0.3828489167690503,0.49779515673062025,0.006340352,0.009001326,0.007670839,420425,237835
,unet_pretrained,1,rgbe,run_01_seed_42,42,0.2490066693097912,0.073110496,0.1610585828065646,0.7544056609383362,0.4326612987995879,0.59353348,0.27097260893078207,0.080862644,0.17591762638282787,0.5560129037638564,0.23135555532542237,0.3936842295446394,0.006531265,0.008939951,0.007735608,420425,237835
,unet_pretrained,1,rgbde,run_01_seed_42,42,0.26937141872122855,0.14411672301126047,0.20674407086624452,0.8325836950704644,0.6924043980070217,0.7624940465387431,0.28479757216780033,0.15397460902802582,0.21938609059791309,0.6012804128100071,0.40744655477306657,0.5043634837915368,0.006728132,0.0069159,0.006822016,420425,237835
,deeplabv3,0,rgb,run_01_seed_42,42,0.18033573170027772,0.067119124,0.12372742798976653,0.7208063269310816,0.3972291714844325,0.559017749,0.19387819731566552,0.074730346,0.13430427158768946,0.4669746906479282,0.2132087172854988,0.3400917039667135,0.009644155,0.008940608,0.009292381,420425,237835
,deeplabv3,0,rgbd,run_01_seed_42,42,0.1946412718245487,0.1040792833883308,0.14936027760643977,0.7884854611405125,0.6838985010616604,0.7361919811010864,0.2053640126824276,0.10933915202750166,0.15735158235496463,0.5028957171660354,0.3334516898395072,0.4181737035027713,0.009817739,0.010127049001306348,0.009972394,420425,237835
,deeplabv3,0,rgbe,run_01_seed_42,42,0.18273526875398707,0.074430765,0.12858301699837035,0.7126764583457216,0.36459730485420566,0.5386368815999636,0.1972683819656589,0.085524525,0.1413964534366221,0.4680823475741904,0.22061846647313038,0.3443504070236604,0.009332096,0.007086788,0.008209442,420425,237835
,deeplabv3,0,rgbde,run_01_seed_42,42,0.18985064322711007,0.098934904,0.14439277380891158,0.7953713504192187,0.704097378,0.7497343644269239,0.19959983812067172,0.1032268921652873,0.1514133651429795,0.49805154687665165,0.3253422661486015,0.4116969065126266,0.010263389476935123,0.011119289827699058,0.01069134,420425,237835
,deeplabv3_pretrained,1,rgb,run_01_seed_42,42,0.18723202273327383,0.075909681,0.1315708518136162,0.7083665338645418,0.4480290958017113,0.5781978148331266,0.2028698714586413,0.083741206,0.1433055387207011,0.4727657466874793,0.23958357691052581,0.35617466179900253,0.008956608,0.008911273,0.008933941,420425,237835
,deeplabv3_pretrained,1,rgbd,run_01_seed_42,42,0.1954127592575913,0.10529813865007594,0.15035544895383363,0.7947053576737825,0.7107658670927324,0.7527356123832574,0.20580175241380372,0.11001207858368194,0.15790691549874283,0.50544071,0.3397283057815069,0.42258450809115394,0.009868698,0.010452613810773356,0.010160656146871137,420425,237835
,deeplabv3_pretrained,1,rgbe,run_01_seed_42,42,0.18538029135405568,0.076634418,0.13100735448744721,0.7274614972944045,0.4740639518994261,0.6007627245969153,0.19921614453059863,0.083755271,0.14148570751547537,0.47536441553598174,0.24537195017884705,0.3603681828574144,0.009409676,0.009427377,0.009418527,420425,237835
,deeplabv3_pretrained,1,rgbde,run_01_seed_42,42,0.20151938744859582,0.10048433498710425,0.15100186121785003,0.799467206,0.737809826,0.768638516,0.21224804243495832,0.10420534052592885,0.15822669148044358,0.5146785900220441,0.33293628718436735,0.4238074386032057,0.009548174,0.011529687218930927,0.010538930718633493,420425,237835
,deeplabv3plus,0,rgb,run_01_seed_42,42,0.18713603115432406,0.068239917,0.127687974,0.6949348873164061,0.3763365358336662,0.5356357115750361,0.20388512794460303,0.076940931,0.14041302923171692,0.46901422061719306,0.21163333093703812,0.3403237757771156,0.008731889,0.008207352,0.00846962,420425,237835
,deeplabv3plus,0,rgbd,run_01_seed_42,42,0.2206221292204541,0.10714435619645464,0.16388324270845436,0.7713884759469585,0.6761746589021801,0.7237815674245693,0.23605654101188614,0.11293954056730317,0.17449804078959466,0.5306882185644756,0.33852572549616977,0.43460697203032267,0.008033267,0.009654298,0.008843782,420425,237835
,deeplabv3plus,0,rgbe,run_01_seed_42,42,0.1834152672139274,0.067656556,0.12553591135939732,0.7119819230540525,0.3685286017617256,0.540255262,0.19811478724509685,0.076528425,0.13732160611293315,0.46879253,0.20902123527324287,0.33890688251884893,0.009273382,0.008084005,0.008678693,420425,237835
